City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
268,Hay River,CA,78.78,scattered clouds,60.8156,-115.7999,Ptarmigan Inn
273,Mackenzie,CA,77.22,clear sky,55.2999,-123.1698,Hilton Shop
275,Gizo,SB,82.78,clear sky,-8.103,156.8419,Imagination Island
276,Kirakira,SB,81.97,scattered clouds,-10.4544,161.9205,SanBiz Lodge
277,Mersing,MY,76.91,few clouds,2.4312,103.8405,Timotel Hotel
280,Shingu,JP,77.45,broken clouds,33.7333,135.9833,Shingu UI Hotel
282,Nurota,UZ,86.67,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
284,Hilo,US,87.28,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
292,Mitsamiouli,KM,75.42,scattered clouds,-11.3847,43.2844,Foyer ADM
293,Diffa,NE,84.38,scattered clouds,13.3154,12.6113,ProDAF/Diffa
295,Sibolga,ID,75.22,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
297,Atar,MR,81.36,moderate rain,20.5169,-13.0499,Oumou Elghoura
298,Salinopolis,BR,79.79,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
302,Portland,US,84.96,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
305,Conakry,GN,77.07,light rain,9.538,-13.6773,Riviera Royal Hotel
307,Puerto Ayacucho,VE,80.24,light rain,5.6639,-67.6236,Posada Turistica Manapiare
315,Gillette,US,81.52,clear sky,44.2911,-105.5022,National 9 Inn - Gillette WY
316,Ambon,ID,75.24,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
320,Kudahuvadhoo,MV,82.51,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
322,Anloga,GH,75.99,broken clouds,5.7947,0.8973,Pin Drop Hotel
324,Bata,GQ,75.04,overcast clouds,1.8639,9.7658,Hotel Elik Melen
327,Bandundu,CD,79.81,overcast clouds,-3.3167,17.3667,Coja Color
328,Sur,OM,87.28,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
332,Jiujiang,CN,75.87,broken clouds,29.7333,115.9833,Tianhai Fashion Theme Hotel
333,North Bend,US,76.24,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
336,Shelburne,CA,86.45,scattered clouds,44.0787,-80.2041,The Retreat at the Farm
340,Merke,KZ,78.24,clear sky,42.8728,73.1786,Gostinitsa Merki
344,Diamantino,BR,83.28,few clouds,-14.4086,-56.4461,Hotel Delta
346,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
348,Hinton,CA,79.05,broken clouds,53.4001,-117.5857,Econo Lodge & Suites
350,Namie,JP,75.06,overcast clouds,37.4833,141.0,いこいの村なみえ
352,Makakilo City,US,79.59,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
353,Marsh Harbour,BS,83.37,clear sky,26.5412,-77.0636,Abaco Beach Resort
356,Praia Da Vitoria,PT,75.45,few clouds,38.7333,-27.0667,Hotel Branco I
357,Port-De-Bouc,FR,80.82,clear sky,43.4,4.9833,HOTEL RESIDENCE LES AIGUADES
358,Hobyo,SO,75.7,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
359,Johnstown,US,78.78,moderate rain,40.3267,-78.922,"Holiday Inn Johnstown-Downtown, an IHG Hotel"
361,Gibsons,CA,76.32,scattered clouds,49.3997,-123.5027,Cedars Inn Hotel & Convention Center
363,Baculin,PH,78.04,light rain,7.4525,126.5842,Baculin Cove Beach Resort
374,Shenjiamen,CN,76.89,scattered clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
378,Presidente Medici,BR,85.77,scattered clouds,-11.1753,-61.9014,Oliveira Palace Hotel
379,Neyshabur,IR,80.58,clear sky,36.2133,58.7958,Amiran Hotel & Commercial Complex
380,Kieta,PG,82.22,clear sky,-6.2167,155.6333,Uruna Bay Retreat
