City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Lebu,CL,2022-07-19 21:04:36,-37.6167,-73.65,50.23,72,5,3.24
68,Dunda,TZ,2022-07-19 21:04:36,-8.1167,34.25,60.4,67,56,3.67
69,Alta Floresta,BR,2022-07-19 20:59:57,-9.8756,-56.0861,93.02,24,20,4.61
70,Opuwo,NA,2022-07-19 21:04:37,-18.0607,13.84,58.08,46,0,2.71
71,Aquiraz,BR,2022-07-19 21:04:37,-3.9014,-38.3911,84.29,83,48,8.61
72,Balakhninskiy,RU,2022-07-19 21:04:38,58.0106,114.2769,56.86,89,40,4.81
73,Hermanus,ZA,2022-07-19 21:04:38,-34.4187,19.2345,53.19,75,29,5.1
74,Wattegama,LK,2022-07-19 21:04:39,6.7989,81.4808,75.27,92,91,1.86
75,Zhigansk,RU,2022-07-19 21:04:39,66.7697,123.3711,39.78,76,85,22.08
76,Muros,ES,2022-07-19 21:04:39,42.7762,-9.0603,67.08,89,34,4.83
77,Flinders,AU,2022-07-19 21:04:40,-34.5833,150.8552,51.19,90,64,8.01
78,Tuatapere,NZ,2022-07-19 21:04:40,-46.1333,167.6833,42.44,90,100,2.89
79,Cape Town,ZA,2022-07-19 21:04:41,-33.9258,18.4232,54.91,79,0,5.99
80,Mount Gambier,AU,2022-07-19 21:04:41,-37.8333,140.7667,34.05,91,1,4.25
81,Avarua,CK,2022-07-19 21:04:41,-21.2078,-159.775,77.05,65,40,9.22
82,Sassandra,CI,2022-07-19 21:04:42,4.95,-6.0833,73.35,77,97,6.73
83,Nichlaul,IN,2022-07-19 21:04:42,27.3167,83.7333,79.5,89,97,6.22
84,Tawau,MY,2022-07-19 21:04:42,4.2498,117.8871,77.29,90,60,3.51
85,Sohag,EG,2022-07-19 21:04:43,26.557,31.6948,89.29,20,0,6.93
86,Mazatlan,MX,2022-07-19 21:04:43,23.2167,-106.4167,90.91,66,7,7.0
87,Port Alfred,ZA,2022-07-19 21:04:44,-33.5906,26.891,61.18,94,92,1.99
88,Tessalit,ML,2022-07-19 21:04:44,20.1986,1.0114,89.71,36,93,12.1
89,Ponta Do Sol,PT,2022-07-19 21:04:44,32.6667,-17.1,73.0,79,4,6.73
90,Mataura,NZ,2022-07-19 21:04:45,-46.1927,168.8643,40.48,86,92,3.13
91,Kayes,ML,2022-07-19 21:04:45,14.0,-11.0,82.54,69,93,10.49
92,Garowe,SO,2022-07-19 21:04:45,8.4054,48.4845,77.29,51,32,26.49
93,Cortez,US,2022-07-19 21:04:46,37.3489,-108.5859,95.76,18,0,14.97
94,Mwaya,TZ,2022-07-19 21:04:46,-9.55,33.95,67.5,75,1,3.67
95,Bandarbeyla,SO,2022-07-19 21:05:47,9.4942,50.8122,75.25,82,36,34.36
96,Cockburn Town,TC,2022-07-19 21:05:47,21.4612,-71.1419,82.13,75,0,18.16
97,Acarau,BR,2022-07-19 21:02:59,-2.8856,-40.12,79.84,79,74,17.11
98,Auki,SB,2022-07-19 21:05:47,-8.7676,160.7034,78.55,78,45,3.2
99,Massakory,TD,2022-07-19 21:05:48,12.996,15.7293,83.61,58,41,2.17
100,Veracruz,MX,2022-07-19 21:03:40,19.3333,-96.6667,87.04,55,74,6.73
101,Georgetown,MY,2022-07-19 21:04:58,5.4112,100.3354,78.89,91,20,1.14
102,Namatanai,PG,2022-07-19 21:05:49,-3.6667,152.4333,78.71,77,100,5.19
103,Lagos,NG,2022-07-19 21:01:48,6.5833,3.75,73.78,81,92,5.64
104,Leningradskiy,RU,2022-07-19 21:05:49,69.3833,178.4167,34.99,94,100,16.71
105,Pontianak,ID,2022-07-19 21:05:50,-0.0333,109.3333,74.73,95,5,2.37
106,Steamboat Springs,US,2022-07-19 21:05:50,40.485,-106.8317,86.34,34,100,6.91
107,Port Lincoln,AU,2022-07-19 21:05:50,-34.7333,135.8667,50.2,65,97,8.61
108,Comodoro Rivadavia,AR,2022-07-19 21:05:51,-45.8667,-67.5,53.46,50,0,25.32
109,Puerto Leguizamo,CO,2022-07-19 21:05:51,-0.1934,-74.7819,75.47,94,95,1.77
110,At-Bashi,KG,2022-07-19 21:05:51,41.1702,75.8106,51.64,66,13,2.57
111,Yellowknife,CA,2022-07-19 21:02:20,62.456,-114.3525,67.71,60,100,11.88
112,Palpa,PE,2022-07-19 21:05:52,-14.5336,-75.1856,77.45,41,15,7.7
113,Praia,CV,2022-07-19 21:05:52,14.9215,-23.5087,77.31,88,94,10.96
114,Dabakala,CI,2022-07-19 21:05:53,8.3667,-4.4333,73.51,83,100,5.79
115,Maputo,MZ,2022-07-19 21:05:30,-25.9653,32.5892,69.6,82,27,6.64
116,Duartina,BR,2022-07-19 21:05:54,-22.4144,-49.4039,75.04,40,0,2.64
117,Samarai,PG,2022-07-19 21:05:54,-10.6167,150.6667,80.15,79,17,4.27
118,East London,ZA,2022-07-19 21:03:30,-33.0153,27.9116,65.05,80,17,15.28
119,Mazamet,FR,2022-07-19 21:05:55,43.49,2.373,80.22,36,0,13.8
120,Upernavik,GL,2022-07-19 21:02:27,72.7868,-56.1549,45.52,74,100,3.76
121,Tynda,RU,2022-07-19 21:05:55,55.1667,124.7167,56.07,96,1,1.63
122,Jiaonan,CN,2022-07-19 21:05:13,35.8786,119.9753,75.4,86,100,3.18
123,Sirsi,IN,2022-07-19 21:05:56,14.6167,74.85,69.19,98,74,3.91
124,Sainte-Maxime,FR,2022-07-19 21:05:56,43.3,6.6333,83.32,57,0,3.51
125,Arraial Do Cabo,BR,2022-07-19 21:05:57,-22.9661,-42.0278,70.97,87,34,12.84
126,Ambon,ID,2022-07-19 21:01:05,-3.6954,128.1814,76.23,16,40,6.91
127,Fare,PF,2022-07-19 21:05:57,-16.7,-151.0167,77.47,68,12,6.2
128,Praia Da Vitoria,PT,2022-07-19 21:05:57,38.7333,-27.0667,71.76,95,42,9.04
129,Arlit,NE,2022-07-19 21:05:58,18.7369,7.3853,85.93,41,98,16.89
130,Chontaul,RU,2022-07-19 21:05:58,43.3048,46.8597,76.23,63,87,7.38
131,Carutapera,BR,2022-07-19 21:05:59,-1.195,-46.02,77.94,84,77,6.46
132,Gizo,SB,2022-07-19 21:05:59,-8.103,156.8419,81.57,74,52,4.79
133,Suntar,RU,2022-07-19 21:05:59,62.1444,117.6319,57.45,94,100,4.99
134,Kruisfontein,ZA,2022-07-19 21:06:00,-34.0033,24.7314,52.88,89,100,14.23
135,Basar,IN,2022-07-19 21:06:00,27.9833,94.6667,72.82,100,100,0.67
136,Birao,CF,2022-07-19 21:06:01,10.2849,22.7882,73.38,89,100,5.1
137,Tuktoyaktuk,CA,2022-07-19 21:06:01,69.4541,-133.0374,47.07,90,100,11.18
138,Bredasdorp,ZA,2022-07-19 21:06:02,-34.5322,20.0403,46.76,88,11,3.62
139,Ilhabela,BR,2022-07-19 21:07:02,-23.7781,-45.3581,69.22,93,23,1.5
140,Hope,US,2022-07-19 21:03:36,33.6671,-93.5916,105.85,25,8,13.96
141,Podor,MR,2022-07-19 21:07:03,16.6527,-14.9587,91.04,47,46,20.27
142,Qaanaaq,GL,2022-07-19 21:07:03,77.484,-69.3632,43.54,67,28,3.49
143,Saint-Pierre,RE,2022-07-19 21:03:43,-21.3393,55.4781,67.68,70,7,11.5
144,Grand Gaube,MU,2022-07-19 21:07:04,-20.0064,57.6608,70.38,61,40,11.01
145,Riohacha,CO,2022-07-19 21:04:26,11.5444,-72.9072,89.11,56,39,17.16
146,Geraldton,AU,2022-07-19 21:07:05,-28.7667,114.6,55.81,88,100,3.44
147,College,US,2022-07-19 21:07:05,64.8569,-147.8028,55.47,82,75,6.91
148,Lulea,SE,2022-07-19 21:07:05,65.5842,22.1547,55.47,88,3,6.91
